Form,Strength,DrugName
Injectable/Injection,37.5MG/ML,Synkayvite
Tablet/Oral,5MG,Synkayvite
Injectable/Injection,1MG/ML,Theelin
Injectable/Injection,2MG/ML,Theelin
Injectable/Injection,5MG/ML,Theelin
"Tablet, Delayed Release/Oral",0.1MG,Diethylstilbestrol
"Tablet, Delayed Release/Oral",0.5MG,Diethylstilbestrol
"Tablet, Delayed Release/Oral",1MG,Diethylstilbestrol
"Tablet, Delayed Release/Oral",0.25MG,Diethylstilbestrol
"Tablet, Delayed Release/Oral",5MG,Diethylstilbestrol
Suppository/Vaginal,0.1MG,Diethylstilbestrol
Suppository/Vaginal,0.5MG,Diethylstilbestrol
Tablet/Oral,0.1MG,Diethylstilbestrol
Tablet/Oral,0.5MG,Diethylstilbestrol
Tablet/Oral,1MG,Diethylstilbestrol
Tablet/Oral,5MG,Diethylstilbestrol
Tablet/Oral,500MG,Sulfadiazine
Injectable/Injection,250MG/ML,Sulfadiazine Sodium
Suppository/Vaginal,0.1MG,Stilbestrol
Suppository/Vaginal,0.5MG,Stilbestrol
Injectable/Injection,0.2MG/ML,Stilbestrol
Injectable/Injection,0.5MG/ML,Stilbestrol
Injectable/Injection,1MG/ML,Stilbestrol
Injectable/Injection,5MG/ML,Stilbestrol
Tablet/Oral,0.1MG,Stilbetin
Tablet/Oral,0.5MG,Stilbetin
Tablet/Oral,1MG,Stilbetin
Tablet/Oral,5MG,Stilbetin
"Tablet, Delayed Release/Oral",0.1MG,Stilbetin
"Tablet, Delayed Release/Oral",0.5MG,Stilbetin
"Tablet, Delayed Release/Oral",1MG,Stilbetin
"Tablet, Delayed Release/Oral",5MG,Stilbetin
Tablet/Oral,0.25MG,Stilbetin
Tablet/Oral,500MG,Sulfadiazine
Tablet/Oral,300MG,Sulfadiazine
Injectable/Injection,"1,000 UNITS/ML",Heparin Sodium
Injectable/Injection,"5,000 UNITS/ML",Heparin Sodium
Injectable/Injection,"10,000 UNITS/ML",Heparin Sodium
Injectable/Injection,5ML/100ML;5GM/100ML,Alcohol 5% And Dextrose 5%
Injectable/Injection,10ML/100ML;5GM/100ML,Alcohol 10% And Dextrose 5%
Tablet/Oral,1.25MG,Premarin
Tablet/Oral,2.5MG,Premarin
Tablet/Oral,0.3MG,Premarin
Tablet/Oral,0.625MG,Premarin
Tablet/Oral,0.9MG,Premarin
Tablet/Oral,0.45MG,Premarin
Tablet/Oral,50MG,Demerol
Injectable/Injection,50MG/ML,Demerol
Injectable/Injection,100MG/ML,Demerol
Tablet/Oral,100MG,Demerol
Syrup/Oral,50MG/5ML,Demerol
Injectable/Injection,25MG/ML,Demerol
Injectable/Injection,75MG/ML,Demerol
Pellet/Implantation,125MG,Percorten
Tablet/Oral,1.5MG;5MG,Hycodan
Syrup/Oral,1.5MG/5ML;5MG/5ML,Hycodan
Injectable/Injection,"1,000 UNITS/ML",Panheprin
Injectable/Injection,"5,000 UNITS/ML",Panheprin
Injectable/Injection,"10,000 UNITS/ML",Panheprin
Injectable/Injection,"20,000 UNITS/ML",Panheprin
Injectable/Injection,"40,000 UNITS/ML",Panheprin
Injectable/Injection,100 UNITS/ML,Heparin Lock Flush
Injectable/Injection,"2,000 UNITS/ML",Heparin Sodium Preservative Free
Injectable/Injection,"2,500 UNITS/ML",Heparin Sodium Preservative Free
Tablet/Oral,0.02MG,Estinyl
Tablet/Oral,0.05MG,Estinyl
Tablet/Oral,0.5MG,Estinyl
Injectable/Injection,100%,Pantopaque
Tablet/Oral,5MG,Desoxyn
"Tablet, Extended Release/Oral",10MG,Desoxyn
"Tablet, Extended Release/Oral",5MG,Desoxyn
"Tablet, Extended Release/Oral",15MG,Desoxyn
Tablet/Oral,0.05MG,Lynoral
Tablet/Oral,0.01MG,Lynoral
Capsule/Oral,50MG,Dicumarol
Capsule/Oral,25MG,Dicumarol
Injectable/Injection,"1,000 UNITS/ML",Heparin Sodium
Injectable/Injection,"10,000 UNITS/ML",Heparin Sodium
Injectable/Injection,"20,000 UNITS/ML",Heparin Sodium
Tablet/Oral,25MG,Dicumarol
Tablet/Oral,50MG,Dicumarol
Tablet/Oral,100MG,Dicumarol
Injectable/Injection,20%,Aminohippurate Sodium
Injectable/Injection,12.5GM/50ML,Mannitol 25%
Injectable/Injection,3MG/ML,Tubocurarine Chloride
Tablet/Oral,130CSR UNIT,Vertavis
Injectable/Injection,10MG/ML,Kappadione
Cream/Vaginal,3.7%;2.86%;3.42%,Sultrin
Tablet/Vaginal,184MG;143.75MG;172.5MG,Sultrin
Ointment/Topical,0.20%,Furacin
Capsule/Oral,50MG,Benadryl
Elixir/Oral,12.5MG/5ML,Benadryl
Capsule/Oral,25MG,Benadryl
Solution/Oral,200MG/5ML,Tridione
Capsule/Oral,300MG,Tridione
Tablet/Oral,150MG,Tridione
Tablet/Oral,1MG,Folvite
Injectable/Injection,5MG/ML,Folvite
Tablet/Oral,50MG,Pbz
Elixir/Oral,EQ 25MG HCL/5ML,Pbz
Injectable/Injection,1MG/ML,D.H.E. 45
Injectable/Injection,5%,Aminosol 5%
Injectable/Injection,10%,Bal
Solution/Drops/Ophthalmic,10%,Sodium Sulamyd
Ointment/Ophthalmic,10%,Sodium Sulamyd
Solution/Drops/Ophthalmic,30%,Sodium Sulamyd
Injectable/Injection,1%,Sotradecol
Injectable/Injection,3%,Sotradecol
Tablet/Oral,EQ 300MG BASE,Aralen
Injectable/Injection,EQ 40MG BASE/ML,Aralen Hydrochloride
Tablet/Oral,100MG,Mesantoin
Capsule/Oral,182MG;0.33MG,Folvron
Tablet/Oral,0.2MG,Methergine
Injectable/Injection,0.2MG/ML,Methergine
"Tablet, Delayed Release/Oral",165MG,Diasone Sodium
Injectable/Injection,"50MG/ML;0.03MG/ML;0.0025MG/ML;7.5MG/ML;100 IU/ML;0.2MG/ML;20MG/ML;2MG/ML;1.8MG/ML;1.5MG/ML;1,650 IU/ML;5 IU/ML",Berocca Pn
Injectable/Injection,3MG/ML,Tubocurarine Chloride
Cream/Vaginal,0.01%,Dienestrol
Tablet/Oral,5MG,Dolophine Hydrochloride
Syrup/Oral,10MG/30ML,Dolophine Hydrochloride
Tablet/Oral,10MG,Dolophine Hydrochloride
Tablet/Oral,1MG,Folic Acid
Injectable/Injection,10MG/ML,Benadryl
Injectable/Injection,50MG/ML,Benadryl
Injectable/Injection,5%,Hyprotigen 5%
Tablet/Oral,50MG,Propylthiouracil
Injectable/Injection,2.5MG/ML,Heavy Solution Nupercaine
Tablet/Oral,50MG,Propylthiouracil
Soap/Topical,2%,Gamophen
Cream/Topical,1%,Kwell
Lotion/Topical,1%,Kwell
Suspension/Oral,250MG/5ML;250MG/5ML,Sulfonamides Duplex
Tablet/Oral,167MG;167MG;167MG,Neotrizine
Suspension/Oral,167MG/5ML;167MG/5ML;167MG/5ML,Neotrizine
Injectable/Injection,3MG/ML,Tubocurarine Chloride
Solution/Inhalation,0.50%,Isuprel
Solution/Inhalation,1%,Isuprel
"Tablet/Rectal, Sublingual",10MG,Isuprel
"Tablet/Rectal, Sublingual",15MG,Isuprel
Elixir/Oral,EQ 165MG BASE/15ML,Synophylate
Injectable/Injection,150 UNITS/ML **Federal Register determination that product  was not discontinued or withdrawn for safety or efficacy reasons**,Wydase
Injectable/Injection,"1,500 UNITS/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",Wydase
Injectable/Injection,150 UNITS/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,Wydase
Powder/For Rx Compounding,50GM/BOT,Methadone Hydrochloride
Powder/For Rx Compounding,100GM/BOT,Methadone Hydrochloride
Powder/For Rx Compounding,500GM/BOT,Methadone Hydrochloride
Injectable/Injection,25MG/ML,Priscoline
Tablet/Oral,25MG,Decapryn
Tablet/Oral,12.5MG,Decapryn
Tablet/Oral,EQ 200MG BASE,Camoquin Hydrochloride
Tablet/Oral,50MG,Hetrazan
Injectable/Injection,10MG/ML,Protamine Sulfate
Injectable/Injection,EQ 90MG CALCIUM/5ML,Calcium Gluceptate
Injectable/Injection,2%,Xylocaine
Injectable/Injection,0.01MG/ML;2%,Xylocaine W/ Epinephrine
Injectable/Injection,0.01MG/ML;1%,Xylocaine W/ Epinephrine
Injectable/Injection,0.02MG/ML;2%,Xylocaine W/ Epinephrine
Injectable/Injection,1%,Xylocaine
Injectable/Injection,0.50%,Xylocaine
Injectable/Injection,1.50%,Xylocaine
Injectable/Injection,0.005MG/ML;0.5%,Xylocaine W/ Epinephrine
Injectable/Injection,0.005MG/ML;1.5%,Xylocaine W/ Epinephrine
Injectable/Injection,0.005MG/ML;1%,Xylocaine W/ Epinephrine
Injectable/Injection,0.005MG/ML;2%,Xylocaine W/ Epinephrine
Syrup/Oral,12.5MG/5ML,Benylin
Tablet/Oral,500MG,Gantrisin
Cream/Vaginal,15%,Avc
Suppository/Vaginal,1.05GM,Avc
Injectable/Injection,5MG/ML,Urecholine
Tablet/Oral,10MG,Urecholine
Tablet/Oral,5MG,Urecholine
Tablet/Oral,25MG,Urecholine
Tablet/Oral,50MG,Urecholine
Injectable/Injection,900MG/100ML,Ammonium Chloride 0.9% In Normal Saline
Tablet/Oral,100MG;1MG,Cafergot
Injectable/Injection,2MG/ML,Metubine Iodide
Injectable/Injection,1MG/ML,Redisol
Injectable/Injection,10MG/VIAL,Mustargen
Injectable/Injection,20MG/ML,Vasoxyl
Injectable/Injection,10MG/ML,Vasoxyl
Tablet/Oral,5MG,Artane
Tablet/Oral,2MG,Artane
Elixir/Oral,2MG/5ML,Artane
"Capsule, Extended Release/Oral",5MG,Artane
Injectable/Injection,1MG/ML,Berubigen
Injectable/Injection,1.0MG,Reddy
Aerosol/Epidural,3000;500,Reddy
"Capsule, Tablet/Endocervical",5000;60UGM,Pfzier
Injectable/Injection,0.1MG/ML,Rubramin Pc
Injectable/Injection,1MG/ML,Rubramin Pc
Injectable/Injection,1MG/ML,Rubramin Pc
Capsule/Oral,300MG,Paradione
Solution/Oral,300MG/ML,Paradione
Capsule/Oral,150MG,Paradione
Tablet/Oral,500MG,Parasal
Tablet/Oral,1GM,Parasal
Tablet/Oral,500MG,Parasal Sodium
Tablet/Oral,1GM,Parasal Sodium
Injectable/Injection,"EQ 50,000 UNITS BASE/ML",Aquasol A
Emulsion/Topical,3%,Phisohex
Tablet/Oral,167MG;167MG;167MG,Terfonyl
Suspension/Oral,167MG/5ML;167MG/5ML;167MG/5ML,Terfonyl
Powder/Inhalation,25%,Norisodrine
Powder/Inhalation,10%,Norisodrine
Injectable/Injection,EQ 400MG BASE/ML,Gantrisin
Tablet/Oral,167MG;167MG;167MG,Triple Sulfas
Suspension/Oral,167MG/5ML;167MG/5ML;167MG/5ML,Triple Sulfas
Tablet/Oral,4MG,Chlor-Trimeton
Syrup/Oral,2MG/5ML,Chlor-Trimeton
Cream/Topical,10%,Eurax
Injectable/Injection,1MG/ML,Syncurine
Injectable/Injection,1MG/ML,Vi-Twel
Tablet/Oral,500MG,Azulfidine
"Tablet, Delayed Release/Oral",500MG,Azulfidine En-Tabs
Injectable/Injection,1MG/ML,Cyanocobalamin
Injectable/Injection,25MG/ML,Cortone
Injectable/Injection,50MG/ML,Cortone
Solution/Inhalation,0.25%,Aerolone
Tablet/Oral,500MG,Teebacin
Capsule/Oral,250MG,Pronestyl
Injectable/Injection,100MG/ML,Pronestyl
Capsule/Oral,500MG,Pronestyl
Capsule/Oral,375MG,Pronestyl
Injectable/Injection,500MG/ML,Pronestyl
Tablet/Oral,2MG,Veriloid
Tablet/Oral,3MG,Veriloid
Tablet/Oral,325MG;2.25MG;0.19MG,Percodan-Demi
Tablet/Oral,325MG;4.5MG;0.38MG,Percodan
Tablet/Oral,325MG;4.8355MG,Percodan
Tablet/Oral,50MG,Banthine
Injectable/Injection,50MG/ML,Seconal Sodium
Tablet/Oral,20MG,Bentyl
Capsule/Oral,10MG,Bentyl
Injectable/Injection,50MG/VIAL,Protamine Sulfate
Injectable/Injection,250MG/VIAL,Protamine Sulfate
Injectable/Injection,25 UNITS/VIAL,Acthar
Injectable/Injection,40 UNITS/VIAL,Acthar
Injectable/Injection,EQ 1MG BASE/ML,Levophed
Tablet/Oral,5MG,Tapazole
Tablet/Oral,10MG,Tapazole
Injectable/Injection,80MG/ML,Quinidine Gluconate
Injectable/Injection,1GM/VIAL,Surital
Injectable/Injection,5GM/VIAL,Surital
Injectable/Injection,10GM/VIAL,Surital
"Tablet, Extended Release/Oral",8MG,Chlor-Trimeton
"Tablet, Extended Release/Oral",12MG,Chlor-Trimeton
Tablet/Oral,500MG,Phenurone
Tablet/Oral,25MG,Cortone
Solution/Drops/Ophthalmic,EQ 4% BASE,Gantrisin
Tablet/Oral,200MG,Neothylline
Tablet/Oral,400MG,Neothylline
Elixir/Oral,160MG/15ML,Neothylline
Injectable/Injection,20MG/ML,Flaxedil
Injectable/Injection,100MG/ML,Flaxedil
Injectable/Injection,2MEQ/ML,Potassium Chloride
Tablet/Oral,500MG,Antabuse
Tablet/Oral,250MG,Antabuse
Tablet/Oral,500MG,Benemid
Tablet/Oral,12.5MG,Phenergan
Tablet/Oral,25MG,Phenergan
Tablet/Oral,50MG,Phenergan
Lotion/Shampoo/Topical,2.50%,Selsun
Injectable/Injection,5MG/ML,Sus-Phrine Sulfite Free
Injectable/Injection,1.5MG/AMP,Sus-Phrine Sulfite Free
Solution/Drops/Ophthalmic,0.12%;0.1%,Prefrin-A
Injectable/Injection,10MG/ML,Tensilon
Injectable/Injection,10MG/ML,Tensilon Preservative Free
Syrup/Oral,10MG/5ML,Bentyl
Capsule/Oral,25MG,Ambodryl
Tablet/Oral,500MG,Telepaque
Injectable/Injection,0.50%,Evans Blue
Ointment/Topical,5%,Xylocaine
Tablet/Oral,EQ 2.5MG BASE,Methotrexate Sodium
Capsule/Oral,12MG,Tace
Injectable/Injection,EQ,Leucovorin Calcium
Injectable/Injection,EQ,Leucovorin Calcium
For Solution/Oral,EQ 60MG BASE/VIAL,Leucovorin Calcium
Injectable/Injection,EQ,Leucovorin Calcium
Injectable/Injection,EQ,Leucovorin Calcium
Tablet/Oral,100MG,Prantal
Tablet/Oral,25MG,Cortisone Acetate
Injectable/Injection,25MG/ML,Cortisone Acetate
Tablet/Oral,5MG,Cortisone Acetate
Tablet/Oral,10MG,Cortisone Acetate
Cream/Topical,20%,Benoquin
Injectable/Injection,25MG/ML,Hydrocortone
Injectable/Injection,50MG/ML,Hydrocortone
Injectable/Injection,EQ 30MG BASE/ML,Wyamine Sulfate
Injectable/Injection,EQ 15MG BASE/ML,Wyamine Sulfate
Injectable/Injection,5MG/VIAL,Regitine
Tablet/Oral,25MG,Cortisone Acetate
Tablet/Oral,5MG,Cortisone Acetate
Tablet/Oral,25MG,Apresoline
Tablet/Oral,50MG,Apresoline
Injectable/Injection,20MG/ML,Apresoline
Tablet/Oral,10MG,Apresoline
Tablet/Oral,100MG,Apresoline
Syrup/Oral,10MG/5ML;6.25MG/5ML,Phenergan W/ Codeine
Syrup/Oral,10MG/5ML;5MG/5ML;6.25MG/5ML,Phenergan Vc W/ Codeine
Tablet/Oral,EQ 15MG BASE,Primaquine
Injectable/Injection,25 UNITS/VIAL,Acth
Injectable/Injection,40 UNITS/VIAL,Acth
Tablet/Oral,100MG,Butazolidin
Capsule/Oral,100MG,Butazolidin
Tablet/Oral,100MG,Gemonil
Injectable/Injection,10MG/ML,Bentyl
Injectable/Injection,10MG/ML,Bentyl Preservative Free
Injectable/Injection,40 UNITS/ML,H.P. Acthar Gel
Injectable/Injection,80 UNITS/ML,H.P. Acthar Gel
Suspension/Oral,15MG/5ML;3.75MG/5ML;600MG/5ML,Tpn
Syrup/Oral,25MG/5ML,Promethazine Hydrochloride Plain
Syrup/Oral,6.25MG/5ML,Promethazine Hydrochloride Plain
Tablet/Oral,100MG,Nydrazid
Emulsion/Topical,3%,Phisohex
Ointment/Ophthalmic,EQ 4% BASE,Gantrisin
Syrup/Oral,50MG/5ML,Rimifon
Injectable/Injection,25MG/ML,Rimifon
Injectable/Injection,100MG/ML,Rimifon
Tablet/Oral,50MG,Isoniazid
Tablet/Oral,100MG,Isoniazid
Tablet/Oral,300MG,Isoniazid
Injectable/Injection,500MG/VIAL,Anectine
Injectable/Injection,20MG/ML,Anectine
Injectable/Injection,50MG/ML,Anectine
Injectable/Injection,1GM/VIAL,Anectine
Solution/Topical,5%,Cyclaine
Tablet/Oral,5MG,Antrenyl
Tablet/Oral,100MG,Isoniazid
Tablet/Oral,300MG,Isoniazid
Tablet/Oral,10MG,Hydrocortone
Tablet/Oral,20MG,Hydrocortone
Tablet/Oral,250MG,Thiosulfil
Tablet/Oral,500MG,Thiosulfil
Tablet/Oral,25MG,Daraprim
Injectable/Injection,EQ 0.033MG BASE/ML;2%;0.4%,Ravocaine And Novocain W/ Levophed
Injectable/Injection,0.05MG/ML;2%;0.4%,Ravocaine And Novocain W/ Neo-Cobefrin
Syrup/Oral,5MG/5ML;6.25MG/5ML,Phenergan Vc
Injectable/Injection,100MG/ML,Nydrazid
Injectable/Injection,100.0MG,Test
Injectable/Injection,100.0MG,Test 2
Tablet/Oral,100MG,Isoniazid
Tablet/Oral,300MG,Isoniazid
Injectable/Injection,10 IU/VIAL,Thytropar
Tablet/Oral,50MG,Furadantin
Tablet/Oral,100MG,Furadantin
Tablet/Oral,10MG,Cortef
Tablet/Oral,20MG,Cortef
Tablet/Oral,5MG,Cortef
Capsule/Oral,10MG,Dibenzyline
Injectable/Injection,2MG/ML,Levo-Dromoran
Tablet/Oral,2MG,Levo-Dromoran
Tablet/Oral,15MG,Pro-Banthine
Tablet/Oral,7.5MG,Pro-Banthine
Suspension/Oral,125MG/5ML,Dilantin-125
Suspension/Oral,30MG/5ML,Dilantin-30
Tablet/Oral,50MG,Hedulin
Injectable/Injection,100MG/ML,Chlor-Trimeton
Injectable/Injection,10MG/ML;0.006MG/ML;0.5UGM/ML;1.5MG/ML;20 IU/ML;0.04MG/ML;4MG/ML;0.4MG/ML;0.36MG/ML;0.3MG/ML;330 UNITS/ML;1 IU/ML,M.V.I.-12
Injectable/Injection,20MG/ML;0.006MG/ML;0.5UGM/ML;1.5MG/ML;20 IU/ML;0.6MG/ML;4MG/ML;0.4MG/ML;0.36MG/ML;0.6MG/ML;330 UNITS/ML;1 IU/ML,M.V.I.-12
Injectable/Injection,20MG/ML;0.006MG/ML;0.05MCG/ML;1.5MG/ML;0.0005MG/ML;0.06MG/ML;4MG/ML;0.6MG/ML;0.36MG/ML;0.6MG/ML;0.1MG/ML;1MG/ML,M.V.I.-12 (Without Vitamin K)
Injectable/Injection,260CSR UNIT/ML,Unitensen
Jelly/Topical,2%,Xylocaine
Injectable/Injection,25MG/ML,Percorten
Injectable/Injection,10MG/ML,Chlor-Trimeton
Tablet/Oral,50MG,Raudixin
Tablet/Oral,100MG,Raudixin
Injectable/Injection,30MG/VIAL,Pro-Banthine
Injectable/Injection,20MG/ML,Quelicin Preservative Free
Injectable/Injection,50MG/ML,Quelicin Preservative Free
Injectable/Injection,100MG/ML,Quelicin Preservative Free
Injectable/Injection,20MG/ML,Quelicin
Injectable/Injection,20MG/ML,Sucostrin
Injectable/Injection,100MG/ML,Sucostrin
Tablet/Oral,2.5MG,Pamine
Tablet/Oral,5MG,Pamine Forte
Capsule/Oral,500MG,Milontin
Injectable/Injection,25MG/ML,Phenergan
Injectable/Injection,50MG/ML,Phenergan
Tablet/Oral,2MG,Rauwiloid
Injectable/Injection,100MG/ML;50MG/ML,Dicurin Procaine
Solution/Drops/Ophthalmic,0.50%,Ophthaine
Tablet/Oral,4MG,Clistin
Ointment/Topical,2.50%,Cortef Acetate
Ointment/Topical,1%,Cortef Acetate
Injectable/Injection,200MG/ML,Calcium Disodium Versenate
Tablet/Oral,500MG,Calcium Disodium Versenate
Tablet/Oral,125MG,Diamox
Tablet/Oral,250MG,Diamox
Tablet/Oral,1.25MG,Pagitane
Tablet/Oral,2.5MG,Pagitane
Elixir/Oral,4MG/5ML,Clistin
Injectable/Injection,40 UNITS/ML,Purified Cortrophin Gel
Injectable/Injection,80 UNITS/ML,Purified Cortrophin Gel
Injectable/Injection,50MG/ML,Arfonad
Suppository/Rectal,100MG;2MG,Cafergot
Solution/Intrauterine,53%,Salpix
"Ointment/Ophthalmic, Otic",1.50%,Hydrocortone
Capsule/Oral,10MG,8-Mop
Lotion/Topical,1%,Oxsoralen
Powder/Oral,EQ 500MG BASE/GM,Rezipas
Tablet/Oral,50MG,Purinethol
Tablet/Oral,10MG,Parsidol
Tablet/Oral,50MG,Parsidol
Tablet/Oral,100MG,Parsidol
Tablet/Sublingual,1MG,Hydergine
Tablet/Sublingual,0.5MG,Hydergine
Injectable/Injection,250MG/ML,Neothylline
Syrup/Oral,EQ 500MG BASE/5ML,Antepar
Tablet/Oral,EQ 500MG BASE,Antepar
Tablet/Oral,50MG,Rauval
Tablet/Oral,100MG,Rauval
Lotion/Topical,10%,Eurax
Tablet/Oral,0.1MG,Serpasil
Tablet/Oral,0.25MG,Serpasil
Tablet/Oral,1MG,Serpasil
Elixir/Oral,0.2MG/4ML,Serpasil
Tablet/Oral,20MG,Cortril
Tablet/Oral,10MG,Cortril
Tablet/Oral,10MG,Thorazine
Tablet/Oral,25MG,Thorazine
Injectable/Injection,25MG/ML,Thorazine
Tablet/Oral,50MG,Thorazine
Tablet/Oral,100MG,Thorazine
Tablet/Oral,200MG,Thorazine
Syrup/Oral,10MG/5ML,Thorazine
Suppository/Rectal,25MG,Thorazine
Concentrate/Oral,30MG/ML,Thorazine
Suppository/Rectal,100MG,Thorazine
Concentrate/Oral,100MG/ML,Thorazine
Injectable/Injection,25MG/ML,Cortril
Injectable/Injection,200MG/ML,Delatestryl
Injectable/Injection,200MG/ML,Delatestryl
Injectable/Injection,800MG,Testing
Injectable/Injection,225MG/AMP,Hydroxystilbamidine Isethionate
Tablet/Oral,250MG,Mysoline
Tablet/Oral,50MG,Mysoline
Suspension/Oral,25MG/5ML,Furadantin
Ointment/Topical,1%,Cortril
Ointment/Topical,2.50%,Cortril
Syrup/Oral,EQ 500MG BASE/5ML,Gantrisin
Suspension/Oral,EQ 500MG BASE/5ML,Gantrisin Pediatric
Emulsion/Oral,EQ 1GM BASE/5ML,Lipo Gantrisin
"Oil/Intralymphatic, Intrauterine",EQ 4.8GM IODINE/10ML (EQ 480MG IODINE/ML),Lipiodol
Tablet/Oral,2MG,Cogentin
Tablet/Oral,1MG,Cogentin
Tablet/Oral,0.5MG,Cogentin
Tablet/Oral,2MG,Rautensin
Tablet/Oral,260CSR UNIT,Unitensen
Tablet/Oral,10MG,Coumadin
Tablet/Oral,5MG,Coumadin
Injectable/Injection,75MG/VIAL,Coumadin
Tablet/Oral,2MG,Coumadin
Tablet/Oral,7.5MG,Coumadin
Tablet/Oral,2.5MG,Coumadin
Injectable/Injection,50MG/VIAL,Coumadin
Tablet/Oral,1MG,Coumadin
Tablet/Oral,4MG,Coumadin
Injectable/Injection,5MG/VIAL,Coumadin
Tablet/Oral,3MG,Coumadin
Tablet/Oral,6MG,Coumadin
Injectable/Injection,50MG/ML,Progesterone
Injectable/Injection,25MG/ML,Progesterone
Tablet/Oral,100MG,Wolfina
Tablet/Oral,50MG,Wolfina
"Tablet, Delayed Release/Oral",100MG,Choledyl
"Tablet, Delayed Release/Oral",200MG,Choledyl
Syrup/Oral,50MG/5ML,Choledyl
Solution/Oral,100MG/5ML,Choledyl
Tablet/Oral,50MG,Rauwolfia Serpentina
Tablet/Oral,100MG,Rauwolfia Serpentina
Tablet/Oral,50MG,Hiwolfia
Tablet/Oral,100MG,Hiwolfia
Tablet/Oral,50MG,Hiwolfia
Tablet/Oral,50MG,Koglucoid
Tablet/Oral,100MG,Koglucoid
Injectable/Injection,0.2MG/ML,Cedilanid-D
Tablet/Oral,50MG;0.2MG,Serpasil-Apresoline
Tablet/Oral,25MG;0.1MG,Serpasil-Apresoline
Suspension/Intratracheal,50%,Dionosil Aqueous
Suspension/Intratracheal,60%,Dionosil Oily
Syrup/Oral,12.5MG/5ML;10MG/5ML,Ambenyl
Injectable/Injection,20%,Cholografin Sodium
Injectable/Injection,52%,Cholografin Meglumine
Injectable/Injection,10.30%,Cholografin Meglumine
Injectable/Injection,0.25MG/ML,Lanoxin
Injectable/Injection,0.1MG/ML,Lanoxin Pediatric
Injectable/Injection,50MG/ML,Histalog
Tablet/Oral,0.1MG,Rau-Sed
Tablet/Oral,0.25MG,Rau-Sed
Tablet/Oral,0.5MG,Rau-Sed
Tablet/Oral,1MG,Rau-Sed
Injectable/Injection,10MG/ML,Ansolysen
Tablet/Oral,0.25MG,Sandril
Tablet/Oral,0.1MG,Sandril
Injectable/Injection,50MG/ML,Cortef Acetate
Tablet/Oral,2MG,Myleran
Injectable/Injection,EQ,Diamox
Tablet/Oral,0.1MG,Serpanray
Tablet/Oral,0.25MG,Serpanray
Tablet/Oral,1MG,Serpanray
Tablet/Oral,1GM,Paskalium
Capsule/Oral,500MG,Paskalium
Injectable/Injection,10MG/ML,Delestrogen
Injectable/Injection,40MG/ML,Delestrogen
Injectable/Injection,20MG/ML,Delestrogen
Tablet/Oral,120MG,Lotusate
Injectable/Injection,2.5MG/ML,Serpasil
Injectable/Injection,1%,Nesacaine
Injectable/Injection,2%,Nesacaine
Injectable/Injection,2%,Nesacaine-Mpf
Injectable/Injection,3%,Nesacaine-Mpf
